POSTCODE,POPULATION,FIREARMS,FIREARMS_PER_1000
2000,27936,319,11.42
2007,7410,32,4.32
2008,10400,34,3.27
2009,12658,162,12.80
2010,26443,178,6.73
2011,18187,292,16.06
2015,11422,88,7.70
2016,13072,113,8.64
2017,29003,194,6.69
2018,19878,461,23.19
2019,13467,545,40.47
2020,21591,358,16.58
2021,14946,346,23.15
2022,13509,219,16.21
2023,10590,325,30.69
2024,11380,273,23.99
2025,7189,118,16.41
2026,32693,370,11.32
2027,7810,261,33.42
2028,4709,106,22.51
2029,9911,169,17.05
2030,14434,582,40.32
2031,33830,515,15.22
2032,14643,347,23.70
2033,11927,160,13.41
2034,20249,370,18.27
2035,34602,1123,32.45
2036,33767,1576,46.67
2037,16641,216,12.98
2038,9487,266,28.04
2039,8553,131,15.32
2040,22803,542,23.77
2041,15584,350,22.46
2042,18673,241,12.91
2043,9657,53,5.49
2044,8278,125,15.10
2045,6480,380,58.64
2046,27288,1122,41.12
2047,12011,482,40.13
2048,7619,168,22.05
2049,12258,194,15.83
2050,9381,44,4.69
2060,15135,263,17.38
2061,6158,60,9.74
2062,7088,193,27.23
2063,6493,185,28.49
2064,9417,121,12.85
2065,31698,643,20.29
2066,33844,872,25.77
2067,27078,278,10.27
2068,17450,428,24.53
2069,14604,527,36.09
2070,14648,562,38.37
2071,13510,486,35.97
2072,8795,298,33.88
2073,17221,689,40.01
2074,23423,920,39.28
2075,21665,795,36.70
2076,25340,945,37.29
2077,42819,1364,31.86
2079,7816,507,64.87
2080,1766,175,99.09
2081,5394,280,51.91
2082,5458,357,65.41
2083,1665,158,94.89
2084,3759,761,202.45
2085,11452,675,58.94
2086,14214,748,52.62
2087,13161,490,37.23
2088,28329,935,33.01
2089,11491,212,18.45
2090,13533,333,24.61
2092,7384,334,45.23
2093,23555,572,24.28
2094,6141,99,16.12
2095,16296,349,21.42
2096,14955,427,28.55
2097,15991,716,44.78
2099,42917,1332,31.04
2100,21973,994,45.24
2101,19885,1380,69.40
2102,8379,402,47.98
2103,10877,598,54.98
2104,3807,261,68.56
2105,2008,130,64.74
2106,9659,350,36.24
2107,15422,722,46.82
2108,1740,154,88.51
2110,9846,532,54.03
2111,15456,855,55.32
2112,38026,1126,29.61
2113,27637,771,27.90
2114,25267,740,29.29
2115,12686,572,45.09
2116,7274,289,39.73
2117,22185,898,40.48
2118,27888,989,35.46
2119,12458,512,41.10
2120,20988,1010,48.12
2121,34209,611,17.86
2122,31187,845,27.09
2125,16620,668,40.19
2126,19082,553,28.98
2127,23198,268,11.55
2128,3600,50,13.89
2130,7288,80,10.98
2131,23012,430,18.69
2132,10755,398,37.01
2133,10929,539,49.32
2134,18224,559,30.67
2135,25915,776,29.94
2136,7763,469,60.41
2137,27726,1426,51.43
2138,19686,576,29.26
2140,20766,233,11.22
2141,32425,683,21.06
2142,27993,911,32.54
2143,9774,331,33.87
2144,39333,726,18.46
2145,87531,3987,45.55
2146,19456,719,36.96
2147,37285,2106,56.48
2148,67483,2768,41.02
2150,35254,386,10.95
2151,21204,880,41.50
2152,11261,446,39.61
2153,62610,3115,49.75
2154,40874,1795,43.92
2155,75699,3071,40.57
2156,13403,2103,156.91
2157,4042,1167,288.72
2158,8937,1102,123.31
2159,5148,1113,216.20
2160,39388,1641,41.66
2161,34379,2004,58.29
2162,20306,888,43.73
2163,10544,405,38.41
2164,21273,1399,65.76
2165,45046,1123,24.93
2166,54184,828,15.28
2167,10536,392,37.21
2168,45023,1962,43.58
2170,114479,5840,51.01
2171,38882,2720,69.96
2172,2892,297,102.70
2173,14544,872,59.96
2174,12080,301,24.92
2175,1790,782,436.87
2176,50022,2774,55.46
2177,17154,607,35.39
2178,4170,1462,350.60
2179,16262,1572,96.67
2190,27559,1892,68.65
2191,6555,399,60.87
2192,13781,665,48.25
2193,17778,531,29.87
2194,26132,501,19.17
2195,27103,461,17.01
2196,33743,2503,74.18
2197,10121,732,72.32
2198,9843,972,98.75
2199,19651,1048,53.33
2200,48003,1733,36.10
2203,13946,209,14.99
2204,26567,436,16.41
2205,25338,506,19.97
2206,19730,1264,64.06
2207,28382,1586,55.88
2208,12881,768,59.62
2209,15825,614,38.80
2210,33262,1743,52.40
2211,17610,890,50.54
2212,17184,885,51.50
2213,23290,1641,70.46
2214,4074,329,80.76
2216,28027,863,30.79
2217,28673,1107,38.61
2218,16182,601,37.14
2219,13771,884,64.19
2220,33761,701,20.76
2221,17065,1192,69.85
2222,12660,437,34.52
2223,21403,1104,51.58
2224,14559,1007,69.17
2225,5560,376,67.63
2226,13054,653,50.02
2227,15364,744,48.42
2228,21001,929,44.24
2229,30943,1508,48.73
2230,30690,1396,45.49
2231,2528,384,151.90
2232,35304,1830,51.84
2233,29960,2229,74.40
2234,30648,2614,85.29
2250,71168,7095,99.69
2251,33721,2387,70.79
2256,16039,782,48.76
2257,30403,1534,50.46
2258,5253,833,158.58
2259,66236,6867,103.67
2260,25845,1072,41.48
2261,55129,3446,62.51
2262,21411,1362,63.61
2263,24554,1273,51.84
2264,16162,2185,135.19
2265,7464,1164,155.95
2267,2920,402,137.67
2278,2565,714,278.36
2280,27183,2508,92.26
2281,15323,1409,91.95
2282,16146,1255,77.73
2283,24419,2757,112.90
2284,12612,1037,82.22
2285,33869,2859,84.41
2286,4690,779,166.10
2287,40845,2847,69.70
2289,20257,1074,53.02
2290,34912,2392,68.52
2291,14279,807,56.52
2292,2622,115,43.86
2293,3302,79,23.92
2294,2061,72,34.93
2295,8091,656,81.08
2296,2026,64,31.59
2297,1801,47,26.10
2298,10141,444,43.78
2299,11905,560,47.04
2300,12058,414,34.33
2302,1411,29,20.55
2303,9710,313,32.23
2304,15807,794,50.23
2305,13108,661,50.43
2306,3421,81,23.68
2307,4537,388,85.52
2311,913,814,891.57
2312,1500,709,472.67
2315,15287,1344,87.92
2316,6577,783,119.05
2317,6553,684,104.38
2318,13667,2985,218.41
2319,6887,1222,177.44
2320,39163,6374,162.76
2321,19857,4638,233.57
2322,24373,3326,136.46
2323,26051,3493,134.08
2324,25443,4518,177.57
2325,31073,8387,269.91
2326,7871,1782,226.40
2327,7830,1013,129.37
2328,2506,1504,600.16
2329,2138,1962,917.68
