POSTCODE,FIREARMS
2000,319
2007,32
2008,34
2009,162
2010,178
2011,292
2015,88
2016,113
2017,194
2018,461
2019,545
2020,358
2021,346
2022,219
2023,325
2024,273
2025,118
2026,370
2027,261
2028,106
2029,169
2030,582
2031,515
2032,347
2033,160
2034,370
2035,1123
2036,1576
2037,216
2038,266
2039,131
2040,542
2041,350
2042,241
2043,53
2044,125
2045,380
2046,1122
2047,482
2048,168
2049,194
2050,44
2060,263
2061,60
2062,193
2063,185
2064,121
2065,643
2066,872
2067,278
2068,428
2069,527
2070,562
2071,486
2072,298
2073,689
2074,920
2075,795
2076,945
2077,1364
2079,507
2080,175
2081,280
2082,357
2083,158
2084,761
2085,675
2086,748
2087,490
2088,935
2089,212
2090,333
2092,334
2093,572
2094,99
2095,349
2096,427
2097,716
2099,1332
2100,994
2101,1380
2102,402
2103,598
2104,261
2105,130
2106,350
2107,722
2108,154
2110,532
2111,855
2112,1126
2113,771
2114,740
2115,572
2116,289
2117,898
2118,989
2119,512
2120,1010
2121,611
2122,845
2125,668
2126,553
2127,268
2128,50
2130,80
2131,430
2132,398
2133,539
2134,559
2135,776
2136,469
2137,1426
2138,576
2140,233
2141,683
2142,911
2143,331
2144,726
2145,3987
2146,719
2147,2106
2148,2768
2150,386
2151,880
2152,446
2153,3115
2154,1795
2155,3071
2156,2103
2157,1167
2158,1102
2159,1113
2160,1641
2161,2004
2162,888
2163,405
2164,1399
2165,1123
2166,828
2167,392
2168,1962
2170,5840
2171,2720
2172,297
2173,872
2174,301
2175,782
2176,2774
2177,607
2178,1462
2179,1572
2190,1892
2191,399
2192,665
2193,531
2194,501
2195,461
2196,2503
2197,732
2198,972
2199,1048
2200,1733
2203,209
2204,436
2205,506
2206,1264
2207,1586
2208,768
2209,614
2210,1743
2211,890
2212,885
2213,1641
2214,329
2216,863
2217,1107
2218,601
2219,884
2220,701
2221,1192
2222,437
2223,1104
2224,1007
2225,376
2226,653
2227,744
2228,929
2229,1508
2230,1396
2231,384
2232,1830
2233,2229
2234,2614
2250,7095
2251,2387
2256,782
2257,1534
2258,833
2259,6867
2260,1072
2261,3446
2262,1362
2263,1273
2264,2185
2265,1164
2267,402
2278,714
2280,2508
2281,1409
2282,1255
2283,2757
2284,1037
2285,2859
2286,779
2287,2847
2289,1074
2290,2392
2291,807
2292,115
2293,79
2294,72
2295,656
2296,64
2297,47
2298,444
2299,560
2300,414
2302,29
2303,313
2304,794
2305,661
2306,81
2307,388
2311,814
2312,709
2315,1344
2316,783
2317,684
2318,2985
2319,1222
2320,6374
2321,4638
2322,3326
2323,3493
2324,4518
2325,8387
2326,1782
2327,1013
2328,1504
2329,1962
2330,9087
2331,5
2333,4913
2334,1192
2335,3333
2336,1551
2337,4722
2338,1106
2339,852
2340,18215
2341,589
2342,539
2343,3558
2344,710
2345,656
2346,2604
2347,1600
2350,8384
2352,2153
2353,1190
2354,3728
2355,1098
2356,154
2357,2947
2358,2811
2359,829
2360,8298
2361,1113
2365,4106
2369,704
2370,5210
2371,1225
2372,3896
2379,514
2380,5328
2381,1177
2382,1205
2386,370
2387,267
2388,2086
2390,5216
2395,693
2396,615
2397,598
2398,257
2399,743
2400,4718
2401,396
2402,1402
2403,764
2404,1367
2405,516
2406,426
2408,386
2409,409
2410,284
2411,122
2415,380
2420,2073
2421,1236
2422,3026
2423,1407
2424,533
2425,1238
2426,246
2427,539
2428,2188
2429,4530
2430,6139
2431,901
2439,1293
2440,7543
2441,2302
2443,1828
2444,4363
2445,918
2446,5113
2447,2367
2448,1040
2449,1072
2450,7594
2452,1324
2453,1516
2454,1799
2455,659
2456,1796
2460,10270
2462,1218
2463,2183
2464,580
2465,96
2466,378
2469,2684
2470,4855
2471,1155
2472,615
2473,348
2474,2911
2475,313
2476,531
2477,2058
2478,1734
2479,746
2480,7709
2481,567
2482,625
2483,837
2484,3690
2485,465
2486,1919
2487,661
2488,103
2489,361
2490,73
2500,1851
2502,995
2505,354
2506,559
2508,1060
2515,690
2516,457
2517,725
2518,1398
2519,1349
2525,987
2526,1545
2527,3216
2528,1656
2529,2174
2530,3641
2533,1699
2534,513
2535,1283
2536,3179
2537,2698
2538,1002
2539,3139
2540,8226
2541,3861
2545,500
2546,2205
2548,1003
2549,1311
2550,7446
2551,989
2555,29
2556,986
2557,2418
2558,687
2559,57
2560,4966
2563,72
2564,362
2565,1404
2566,1450
2567,4011
2568,325
2569,444
2570,9956
2571,3173
2572,1680
2573,1086
2574,1829
2575,3990
2576,1732
2577,4438
2578,476
2579,2462
2580,14471
2581,2130
2582,7073
2583,4399
2584,454
2585,244
2586,2854
2587,1705
2588,289
2590,2879
2594,5860
2611,169
2618,653
2619,1680
2620,10862
2621,3164
2622,4617
2623,436
2624,2
2625,2
2626,600
2627,1486
2628,1817
2629,515
2630,5289
2631,796
2632,1808
2633,366
2640,7994
2641,2700
2642,3689
2643,1202
2644,1707
2645,239
2646,3063
2647,1006
2648,2766
2649,23
2650,12663
2651,559
2652,3848
2653,2142
2655,885
2656,661
2658,856
2659,632
2660,814
2661,30
2663,1633
2665,1712
2666,2883
2668,360
2669,1611
2671,2304
2672,1084
2675,1356
2678,4
2680,7910
2681,1085
2700,1987
2701,1382
2702,313
2703,238
2705,4041
2706,474
2707,1035
2710,5717
2711,2661
2712,667
2713,1305
2714,966
2715,1323
2716,749
2717,564
2720,3326
2721,243
2722,2035
2725,249
2726,309
2727,412
2729,1503
2730,765
2731,1698
2732,1305
2733,589
2734,508
2735,353
2736,179
2737,412
2738,1031
2739,429
2745,4775
2747,4057
2748,636
2749,2461
2750,3612
2752,1546
2753,4309
2754,1331
2756,8639
2757,337
2758,3475
2759,2167
2760,2054
2761,1041
2762,510
2763,1383
2765,3784
2766,545
2767,699
2768,800
2769,289
2770,2494
2773,465
2774,1310
2775,427
2776,471
2777,1990
2778,336
2779,804
2780,953
2782,496
2783,256
2784,110
2785,558
2786,145
2787,2912
2790,5290
2791,340
2792,392
2793,1039
2794,5056
2795,17026
2797,569
2798,1563
2799,2270
2800,13224
2803,352
2804,1702
2805,477
2806,549
2807,347
2808,211
2809,130
2810,2521
2817,385
2818,679
2820,3616
2821,2876
2822,464
2823,1049
2824,1800
2825,1922
2826,328
2827,2492
2828,790
2829,2036
2830,15591
2831,2456
2832,1558
2833,465
2834,847
2835,3128
2836,870
2838,96
2839,639
2840,1858
2842,908
2843,1198
2844,1211
2845,651
2846,400
2847,1060
2848,685
2849,2083
2850,12895
2852,3201
2864,835
2865,781
2866,2704
2867,518
2868,715
2869,947
2870,5274
2871,4772
2873,946
2874,494
2875,664
2876,546
2877,2615
2878,539
2879,519
2880,7325
2898,62
3644,578
3691,29
3707,35
4375,3
4377,26
4380,55
4383,110
4385,71
